,Observation,Risk
425,testing breaker done installation,High
426,body earthing termination strip observed rusted,High
427,door earthing provided,High
428,sld displayed room upto date,High
429,preventive maintenance schedule isolator air disconnecting switch available conveyed cleaning tightening insulator done shutdown,High
430,unused opening observed lcs switch,High
431,body ahu panel corroded,High
432,non standard tapped joint observed near db,High
433,cable entry exit enclosure sealed gland plate observed missing,High
434,electrical panel door found open,High
435,phase separator present bus bar,High
436,shock treatment chart displayed electrical room,High
437,earthing provided many place cable tray,High
438,earthing provided cable tray,High
439,door earthing provided,High
440,following motor installed flameproof motor placed filling panel sealer machine motor sealing machine recycle motor,High
441,phase separator bus bar mccb,High
442,phenolic hylam sheet provided panel,High
443,body lightning distribution panel corroded,High
444,electrical insulation mat laid front db,High
445,sfu still use instead mccbs,High
446,rubber mat laid front panel,High
447,sfu still use instead mccbs,High
448,phenolic hylam sheet provided panel,High
449,arc flash study carried ht panel arc flash study carried ppe level selected per arc flash study arc flash boundary sticker displayed panel,High
450,phenolic hylam sheet provided panel,High
451,oil cup silica gel breather transformer missing,High
452,stack height dg set observed le required current stack height meter maximum height nearby building near meter,High
453,buchholz relay indicator visible enclosed glass,High
454,body earthing termination strip observed rusted,High
455,filling machine panel installed near blend filling machine line flameproof come inside hac zone,High
456,seating arrangement electrician close proximity panel busbar changeover,High
457,observed cable wire open joint,High
458,earthing provided cable tray,High
459,phenolic hylam sheet provided panel,High
460,following electrical apparatus flameproof blend transfer motor cable gland zeta plus filtration system near vat storage tank,High
461,earthing provided cable tray,High
462,oil cup silica gel breather transformer missing,High
463,earthing provided cable tray,High
464,earthing provided power box,High
465,lightning protection rod installed place designing installation record available verify efficacy installation distance two arrestors meter,High
466,termination box blend transfer motor tank bolted kept open,High
467,sld displayed room upto date,High
468,stack height dg set proper,High
469,rubber mat laid rear side panel refer image,High
470,electrical insulation mat laid front changeover panel observed old damaged,High
471,unused opening observed zeta plus filtration system derates flameproof rating machine,High
472,water seepage room terrace,High
473,electrical insulation mat laid front panel,High
474,earthing provided dg day tank,High
475,rubber mat laid rear side panel refer image,High
476,cabinet door earthing isolator panel provided,High
477,earthing connected s metal clad box,High
478,jumper provided flange blending hall tank area,High
479,following electrical apparatus flameproof blend transfer motor cable gland zeta plus filtration system near vat storage tank,High
480,cabinet door earthing isolator panel provided,High
481,earthing provided dg day tank,High
482,rtcc panel earthed door earthing broken,High
483,electrical insulation mat laid front panel,High
484,phenolic hylam sheet provided panel,High
485,earth leakage protection provided db subsequent feeder,High
486,door earthing provided,High
487,top bottom cover plate observed missing panel,High
488,sugar unloading handling area sugar dust airborne dust also present room,High
489,top bottom cover plate observed missing panel,High
490,deflagration vent storage equipment like silo designed,High
491,earth strip connected earth point transformer,High
492,door earthing provided,High
493,stack height dg set observed le required current stack height meter maximum height nearby building near meter,High
494,door earth broken,High
495,electrical insulation mat laid panel,High
496,equipotential bonding provided transformer,High
497,door earth broken,High
498,earth strip corroded,High
499,voltmeter working,High
500,nut bolt neutral earthing strip observed corroded,High
501,phenolic hylam sheet provided panel,High
502,preventive maintenance schedule potential transformer available conveyed cleaning tightening potential transformer done shutdown,High
503,flame proof rating lighting fixture detector installed area known data shown audit,High
504,door earth provided,High
505,elcb installed ldb,High
506,sfu use instead mccbs,High
507,door earthing provided,High
508,preventive maintenance schedule isolator air disconnecting switch available conveyed cleaning tightening insulator done shutdown,High
509,rubber mat laid front db,High
510,cascaded earthing provided lcs installed near bv tank,High
511,earth strip corroded,High
512,voltmeter working,High
513,preventive maintenance checklist mccb available,High
514,phenolic hylam sheet provided panel,High
515,phase separator present bus bar,High
516,tag placed inside panel joint cable inside panel feeder,High
517,earth leakage protection provided subsequent feeder,High
518,earthing provided diesel day tank,High
519,door earthing provided,High
520,pebble laid inside switchyard insufficient,High
521,jumper provided flange blending hall tank area,High
522,equipotential bonding provided transformer,High
523,door earthing provided,High
524,rubber mat laid front panel,High
525,phenolic hylam sheet provided panel,High
526,preventive maintenance schedule bus bar bus bar cover found open,High
527,electrical insulation mat laid panel,High
528,oil level indicator conservator working indicator read empty oil,High
529,phenolic hylam sheet provided panel,High
530,preventive maintenance schedule potential transformer available conveyed cleaning tightening potential transformer done shutdown,High
531,earthing provided cable tray,High
532,silica gel inside breather dis charged turned pink,High
533,rubber mat laid rear side panel refer image,High
534,phenolic hylam sheet provided inside panel,High
535,observed cable wire open joint,High
536,panel door broken,High
537,termination box blend transfer motor tank bolted kept open,High
538,unused opening observed lcs switch,High
539,door earthing provided,High
540,phenolic hylam sheet provided panel feeder,High
541,earth leakage protection provided subsequent feeder,High
542,filling machine panel installed near blend filling machine line flameproof come inside hac zone,High
543,buchholz relay indicator visible enclosed glass,High
544,phenolic hylam sheet provided panel,High
545,earth leakage protection provided subsequent feeder,High
546,observed cable wire open joint,High
547,flame proof rating lighting fixture detector installed area known data shown audit,High
548,jumper provided flange pipeline,High
549,phase separator present bus bar,High
550,cabinet door earthing isolator panel provided,High
551,phenolic hylam sheet provided panel,High
552,earth leakage protection provided subsequent outgoing feeder,High
553,preventive maintenance schedule current transformer available specific maintenance schedule equipment followed cleaning tightening insulator done shutdown,High
554,deflagration vent storage equipment like silo designed,High
555,door earth broken,High
556,preventive maintenance schedule potential transformer available conveyed cleaning tightening potential transformer done shutdown,High
557,following electrical apparatus flameproof blend transfer motor cable gland zeta plus filtration system near vat storage tank,High
558,arc flash study carried ht panel arc flash study carried ppe level selected per arc flash study arc flash boundary sticker displayed panel,High
559,cable exit point compressor panel room hall spirit storage tank sealed,High
560,sfu still use instead mccbs,High
561,electrical insulation mat laid front changeover panel observed old damaged,High
562,sugar unloading handling area sugar dust airborne dust also present room,High
563,buchholz relay indicator visible enclosed glass,High
564,door earthing broken,High
565,earthing provided cable tray,High
566,power quality study conducted site,High
567,earth leakage protection provided subsequent feeder,High
568,termination box blend transfer motor tank bolted kept open,High
569,body ahu panel corroded,High
570,earthing provided power box,High
571,earthing provided cable tray,High
572,door earthing provided,High
573,circuit breaker provided incoming supply line lt supply directly fed busbar,High
574,incident energy calculation done site shall required appropriate ppe selection arc flash sticker displayed panel,High
575,phase separator present bus bar,High
576,arc flash study carried ppe level selected per arc flash study arc flash boundary sticker displayed panel,High
577,back cover plate busbar chamber panel observed missing,High
578,water seepage room terrace,High
579,door earthing connected,High
580,sfu still use instead mccbs,High
581,electrical panel door found open,High
582,phenolic hylam sheet provided panel,High
583,sfu still use instead mccbs,High
584,jumper provided flange blending hall tank area,High
585,panel body earthed single side,High
586,top cover plate observed missing panel,High
587,cardboard piece paced inside bus bar chamber main mpeb supply incomer feeder,High
588,silica gel inside breather dis charged turned pink,High
589,oil level indicator conservator working indicator read empty oil,High
590,electrical insulation mat laid front changeover panel observed old damaged,High
591,phase separator present bus bar,High
592,arc flash study carried ppe level selected per arc flash study arc flash boundary sticker displayed panel,High
593,observed cable entry point sealed,High
594,rtcc panel earthed door earthing broken,High
595,electrical insulation mat laid front panel,High
596,earthing provided cable tray,High
597,voltmeter working,High
598,earthing provided power box,High
599,phenolic hylam sheet provided panel,High
600,electrical insulation mat laid front db,High
601,maintenance dg set done properly rust observed alternator dust lube oil leakage also observed inside acoustic enclosure,High
602,earth leakage protection provided subsequent outgoing feeder,High
603,smoke detection system working area,High
604,rubber mat laid front panel,High
605,equipotential bonding provided transformer,High
606,electrical insulation mat laid front db,High
607,door earthing provided,High
608,fo earth strip corroded,High
609,cardboard piece paced inside bus bar chamber main mpeb supply incomer feeder,High
610,crocodile clip used discharge static charge corroded,High
611,phenolic hylam sheet provided panel,High
612,tag placed inside panel joint cable inside panel feeder,High
613,phenolic hylam sheet provided panel,High
614,top cover plate provided panel,High
615,water seepage room terrace,High
616,emergency stop button panel,High
617,door earthing provided,High
618,incident energy calculation done site shall required appropriate ppe selection arc flash sticker displayed panel,High
619,incident energy calculation done site shall required appropriate ppe selection arc flash sticker displayed panel,'High'
